Genre,Clue1,Clue2,Clue3,Clue4,Clue5,Answer
Book,Published in 1925, Wealthy Parties,Longing,Green light,Jazz Age,The Great Gastsby
Book,Published in 1960,Banned book,Southern town,Law trial,Scout and Jem,To Kill a Mockingbird
